"ID","Curve_ID","Amendment","Soil","Temperature","Time","N.min.amd.pct","WHC"
9,1,"composted broiler litter.9","Dothan.09",25,4,1.787144435,"100"
9,1,"composted broiler litter.9","Dothan.09",25,0.142857143,0.430820215,"100"
9,1,"composted broiler litter.9","Dothan.09",25,0,0,"100"
9,2,"composted broiler litter.9","Hiwassee.09",25,0.285714,0.976249655,"100"
9,2,"composted broiler litter.9","Hiwassee.09",25,0.571429,1.271402927,"100"
9,1,"composted broiler litter.9","Dothan.09",25,2,2.13269815,"100"
9,1,"composted broiler litter.9","Dothan.09",25,3,1.32629108,"100"
9,2,"composted broiler litter.9","Hiwassee.09",25,2,3.170394919,"100"
9,1,"composted broiler litter.9","Dothan.09",25,0.285714286,0.594794256,"100"
9,1,"composted broiler litter.9","Dothan.09",25,8,2.977423364,"100"
9,2,"composted broiler litter.9","Hiwassee.09",25,0.142857,0.707332229,"100"
9,1,"composted broiler litter.9","Dothan.09",25,1,1.151615576,"100"
9,2,"composted broiler litter.9","Hiwassee.09",25,4,3.034037559,"100"
9,2,"composted broiler litter.9","Hiwassee.09",25,1,1.964236399,"100"
9,2,"composted broiler litter.9","Hiwassee.09",25,0,0,"100"
9,2,"composted broiler litter.9","Hiwassee.09",25,8,2.975006904,"100"
9,2,"composted broiler litter.9","Hiwassee.09",25,3,4.691383596,"100"
9,1,"composted broiler litter.9","Dothan.09",25,0.571428571,1.082919083,"100"
9,3,"composted hen manure.9","Hiwassee.09",25,3,0.481611171,"100"
9,3,"composted hen manure.9","Hiwassee.09",25,0.571429,1.111643394,"100"
9,3,"composted hen manure.9","Hiwassee.09",25,0.285714,0.969953455,"100"
9,3,"composted hen manure.9","Hiwassee.09",25,1,1.694557823,"100"
9,4,"composted hen manure.9","Dothan.09",25,4,-0.247704977,"100"
9,4,"composted hen manure.9","Dothan.09",25,8,0.532094522,"100"
9,3,"composted hen manure.9","Hiwassee.09",25,4,-0.041732904,"100"
9,3,"composted hen manure.9","Hiwassee.09",25,0.142857,0.554643752,"100"
9,4,"composted hen manure.9","Dothan.09",25,0,0,"100"
9,3,"composted hen manure.9","Hiwassee.09",25,8,2.889330469,"100"
9,4,"composted hen manure.9","Dothan.09",25,0.142857143,0.344296455,"100"
9,4,"composted hen manure.9","Dothan.09",25,1,0.906680988,"100"
9,4,"composted hen manure.9","Dothan.09",25,0.285714286,0.739749373,"100"
9,4,"composted hen manure.9","Dothan.09",25,3,0.111063373,"100"
9,4,"composted hen manure.9","Dothan.09",25,2,1.090440387,"100"
9,3,"composted hen manure.9","Hiwassee.09",25,0,0,"100"
9,3,"composted hen manure.9","Hiwassee.09",25,2,0.982742571,"100"
9,4,"composted hen manure.9","Dothan.09",25,0.571428571,0.899613319,"100"
15,5,"compost.15","M0.15",30,1,1.855263158,"60"
15,6,"compost.15","M2.15",30,8,20.66525424,"60"
15,5,"compost.15","M0.15",30,0,0,"60"
15,7,"compost.15","M2.15",30,0,7.272078501,"60"
15,6,"compost.15","M2.15",30,24,25.92283675,"60"
15,5,"compost.15","M0.15",30,16,25.08987511,"60"
15,7,"compost.15","M2.15",30,4,19.50698781,"60"
15,7,"compost.15","M2.15",30,1,12.45785013,"60"
15,7,"compost.15","M2.15",30,2,13.970562,"60"
15,7,"compost.15","M2.15",30,3,13.970562,"60"
15,6,"compost.15","M2.15",30,4,13.02408564,"60"
15,7,"compost.15","M2.15",30,24,24.15053524,"60"
15,6,"compost.15","M2.15",30,12,27.5102587,"60"
15,6,"compost.15","M2.15",30,16,26.22702944,"60"
15,7,"compost.15","M0.15",30,0,8.678189117,"60"
15,5,"compost.15","M0.15",30,24,26.46721677,"60"
15,5,"compost.15","M0.15",30,2,3.609277431,"60"
15,7,"compost.15","M2.15",30,12,23.27728219,"60"
15,8,"compost.15","M0.15",30,1,12.5617752,"60"
15,5,"compost.15","M0.15",30,8,22.79571811,"60"
15,7,"compost.15","M2.15",30,8,20.07664288,"60"
15,7,"compost.15","M2.15",30,16,23.80411835,"60"
15,5,"compost.15","M0.15",30,4,14.2132025,"60"
15,5,"compost.15","M0.15",30,12,24.03635147,"60"
15,6,"compost.15","M2.15",30,1,12.38447814,"60"
15,8,"compost.15","M0.15",30,24,23.8377193,"60"
15,5,"compost.15","M0.15",30,3,3.609277431,"60"
15,6,"compost.15","M2.15",30,0,9.834968778,"60"
15,8,"compost.15","M0.15",30,2,13.33467142,"60"
15,8,"compost.15","M0.15",30,3,13.33467142,"60"
15,6,"compost.15","M2.15",30,3,14.38804639,"60"
15,8,"compost.15","M0.15",30,12,24.26583408,"60"
15,8,"compost.15","M0.15",30,16,23.26984835,"60"
15,6,"compost.15","M2.15",30,2,14.38804639,"60"
15,8,"compost.15","M0.15",30,8,20.19536128,"60"
15,8,"compost.15","M0.15",30,4,17.74293785,"60"
16,9,"CMC.16","M2.16",30,24,15.24423729,"60"
16,10,"CMC.16","M0.16",30,16,10.90983051,"60"
16,11,"CMC.16","M2.16",30,8,16.16745763,"60"
16,10,"CMC.16","M0.16",30,4,2.493050847,"60"
16,10,"CMC.16","M0.16",30,12,9.845762712,"60"
16,9,"CMC.16","M2.16",30,16,14.92316384,"60"
16,12,"CMC.16","M0.16",30,8,8.816497175,"60"
16,10,"CMC.16","M0.16",30,24,11.43915254,"60"
16,12,"CMC.16","M0.16",30,24,11.55903955,"60"
16,11,"CMC.16","M2.16",30,4,10.24983051,"60"
16,11,"CMC.16","M2.16",30,2,11.18101695,"60"
16,12,"CMC.16","M0.16",30,12,11.91429379,"60"
16,12,"CMC.16","M0.16",30,16,11.19903955,"60"
16,9,"CMC.16","M2.16",30,12,14.63502825,"60"
16,12,"CMC.16","M0.16",30,0,0,"60"
16,10,"CMC.16","M0.16",30,1,1.545254237,"60"
16,11,"CMC.16","M2.16",30,12,21.35457627,"60"
16,11,"CMC.16","M2.16",30,3,12.57016949,"60"
16,12,"CMC.16","M0.16",30,4,7.047966102,"60"
16,11,"CMC.16","M2.16",30,24,19.80830508,"60"
16,10,"CMC.16","M0.16",30,2,2.789152542,"60"
16,11,"CMC.16","M2.16",30,1,9.815254237,"60"
16,10,"CMC.16","M0.16",30,0,0,"60"
16,12,"CMC.16","M0.16",30,1,3.058926554,"60"
16,10,"CMC.16","M0.16",30,3,1.924745763,"60"
16,11,"CMC.16","M2.16",30,16,20.27728814,"60"
16,9,"CMC.16","M2.16",30,1,6.417118644,"60"
16,9,"CMC.16","M2.16",30,3,6.821412429,"60"
